일자,time,교통량
2017-07-30,262,35
2017-07-31,284,37
2017-08-01,289,39
2017-08-02,285,56
2017-08-03,285,38
2017-08-04,281,45
2017-08-05,288,44
2017-08-06,253,49
2017-08-07,264,34
2017-08-08,268,28
2017-08-09,274,33
2017-08-10,278,27
2017-08-11,280,43
2017-08-12,306,57
2017-08-13,274,35
2017-08-14,283,20
2017-08-15,289,28
2017-08-16,291,27
2017-08-17,282,17
2017-08-18,284,28
2017-08-19,280,23
2017-08-20,280,19
2017-08-21,298,19
2017-08-22,278,17
2017-08-23,286,15
2017-08-24,314,15
2017-08-25,283,21
2017-08-26,287,35
2017-08-27,268,25
2017-08-28,251,20
2017-08-29,270,19
2017-08-30,277,16
2017-08-31,279,13
2017-09-01,283,16
2017-09-02,269,26
2017-09-03,289,22
2017-09-04,272,20
2017-09-05,277,14
2017-09-06,283,26
2017-09-07,276,21
2017-09-09,279,26
2017-09-10,251,15
2017-09-11,276,14
2017-09-12,280,0
2017-09-13,287,0
2017-09-14,269,14
2017-09-15,277,18
2017-09-16,288,20
2017-09-17,277,10
2017-09-18,285,8
2017-09-19,268,8
2017-09-20,268,8
2017-09-21,271,16
2017-09-23,292,15
2017-09-24,258,24
2017-09-25,296,10
2017-09-26,295,11
2017-09-27,273,8
2017-09-28,278,16
2017-09-29,257,20
2017-09-30,286,72
2017-10-01,288,0
2017-10-02,320,63
2017-10-03,374,73
2017-10-04,367,53
2017-10-05,377,75
2017-10-06,296,50
2017-10-07,273,34
2017-10-08,255,35
2017-10-09,249,12
2017-10-10,264,13
2017-10-11,273,21
2017-10-12,255,14
2017-10-13,284,18
2017-10-14,270,18
2017-10-15,262,18
2017-10-16,290,0
2017-10-17,274,14
2017-10-18,276,23
2017-10-19,252,22
2017-10-20,257,24
2017-10-21,286,24
2017-10-22,253,0
2017-10-23,263,0
2017-10-24,280,15
2017-10-25,335,0
2017-10-26,268,0
2017-10-27,282,0
2017-10-28,277,0
2017-10-29,285,19
2017-10-30,273,22
2017-10-31,268,12
2017-11-01,286,18
2017-11-02,259,19
2017-11-03,267,0
2017-11-04,282,0
2017-11-05,286,23
2017-11-06,266,13
2017-11-07,242,10
2017-11-08,259,14
2017-11-09,273,16
2017-11-10,267,15
2017-11-11,285,0
2017-11-12,272,24
2017-11-13,276,15
2017-11-14,251,15
2017-11-15,263,12
2017-11-16,337,28
2017-11-17,274,19
2017-11-18,277,19
2017-11-19,270,15
2017-11-20,267,18
2017-11-21,248,11
2017-11-22,291,17
2017-11-23,264,12
2017-11-24,267,0
2017-11-25,275,0
2017-11-26,268,0
2017-11-27,273,0
2017-11-28,282,0
2017-11-29,305,0
2017-11-30,268,21
2017-12-01,322,15
2017-12-02,276,30
2017-12-03,277,15
2017-12-04,264,17
2017-12-05,256,22
2017-12-06,278,0
2017-12-07,345,17
2017-12-08,264,0
2017-12-09,263,24
2017-12-10,283,0
2017-12-11,260,5
2017-12-12,282,9
2017-12-13,289,0
2017-12-14,292,0
2017-12-15,268,15
2017-12-16,260,15
2017-12-17,265,0
2017-12-18,273,16
2017-12-19,272,0
2017-12-20,271,13
2017-12-21,312,0
2017-12-22,277,21
2017-12-23,291,36
2017-12-24,267,23
2017-12-25,248,15
2017-12-26,265,15
2017-12-27,245,0
2017-12-28,254,0
2017-12-29,299,22
2017-12-30,284,42
2017-12-31,282,29
2018-01-01,269,14
2018-01-02,276,11
2018-01-03,262,18
2018-01-04,256,11
2018-01-05,247,13
2018-01-06,275,21
2018-01-08,274,11
2018-01-09,267,11
2018-01-10,279,13
2018-01-11,278,13
2018-01-12,259,12
2018-01-13,268,19
2018-01-14,250,22
2018-01-15,327,0
2018-01-16,268,16
2018-01-17,257,13
2018-01-18,275,21
2018-01-19,260,25
2018-01-20,267,25
2018-01-21,248,0
2018-01-22,278,19
2018-01-23,282,10
2018-01-24,277,11
2018-01-25,288,11
2018-01-26,255,13
2018-01-27,276,18
2018-01-28,265,16
2018-01-29,271,0
2018-01-30,259,14
2018-01-31,260,10
2018-02-01,268,15
2018-02-02,268,12
2018-02-03,254,0
2018-02-04,245,17
2018-02-05,270,11
2018-02-06,266,0
2018-02-07,261,0
2018-02-08,257,0
2018-02-09,241,9
2018-02-10,257,19
2018-02-11,272,0
2018-02-12,271,12
2018-02-13,272,0
2018-02-14,290,0
2018-02-15,391,78
2018-02-16,299,35
2018-02-17,272,0
2018-02-18,250,16
2018-02-19,254,0
2018-02-20,276,21
2018-02-21,270,15
2018-02-22,265,16
2018-02-23,280,21
2018-02-24,296,26
2018-02-25,258,32
2018-02-26,265,19
2018-02-27,296,51
2018-02-28,292,14
2018-03-01,274,28
2018-03-02,259,13
2018-03-03,274,28
2018-03-04,251,18
2018-03-05,257,0
2018-03-06,253,0
2018-03-07,248,0
2018-03-08,342,0
2018-03-09,255,0
2018-03-10,257,0
2018-03-11,243,0
2018-03-12,291,6
2018-03-13,277,0
2018-03-14,299,0
2018-03-15,266,0
2018-03-16,274,0
2018-03-17,274,13
2018-03-18,252,0
2018-03-19,274,0
2018-03-20,295,0
2018-03-21,312,0
2018-03-22,246,0
2018-03-23,259,0
2018-03-24,258,0
2018-03-25,247,0
2018-03-26,254,0
2018-03-27,270,0
2018-03-28,262,0
2018-03-29,281,0
2018-03-30,269,0
2018-03-31,268,0
2018-04-01,283,0
2018-04-02,271,0
2018-04-03,270,0
2018-04-04,254,0
2018-04-05,253,0
2018-04-06,276,0
2018-04-07,274,0
2018-04-08,263,0
2018-04-09,251,0
2018-04-10,274,0
2018-04-11,280,0
2018-04-12,257,0
2018-04-13,318,11
2018-04-14,294,0
2018-04-15,253,14
2018-04-16,271,0
2018-04-17,287,0
2018-04-18,275,16
2018-04-19,282,0
2018-04-20,261,0
2018-04-21,296,0
2018-04-22,277,0
2018-04-23,276,0
2018-04-24,250,0
2018-04-25,266,9
2018-04-26,272,9
2018-04-27,288,20
2018-04-28,285,0
2018-04-29,263,0
2018-04-30,280,0
2018-05-01,248,11
2018-05-02,261,0
2018-05-03,255,0
2018-05-04,287,0
2018-05-05,373,0
2018-05-06,309,0
2018-05-07,281,27
2018-05-08,269,0
2018-05-09,253,12
2018-05-10,269,8
2018-05-11,274,0
2018-05-12,270,0
2018-05-13,253,0
2018-05-14,262,0
2018-05-15,266,0
2018-05-16,286,0
2018-05-17,253,0
2018-05-18,271,0
2018-05-19,303,0
2018-05-20,267,24
2018-05-21,266,0
2018-05-22,300,0
2018-05-23,263,0
2018-05-24,267,17
2018-05-25,274,13
2018-05-26,279,20
2018-05-27,256,0
2018-05-28,295,14
2018-05-29,268,0
2018-05-30,264,0
2018-05-31,258,13
2018-06-01,263,23
2018-06-02,279,0
2018-06-03,249,0
2018-06-04,279,0
2018-06-05,270,17
2018-06-06,273,0
2018-06-07,258,19
2018-06-08,309,0
2018-06-09,0,0
2018-06-10,243,25
2018-06-11,255,0
2018-06-12,267,0
2018-06-13,264,0
2018-06-14,392,13
2018-06-15,278,29
2018-06-16,258,0
2018-06-17,267,0
