일자,12시,교통량,추석,추석_D+1,추석_D-1,추석_D-7,12시_lag_day1,12시_lag_day7,12시_lag_day30,교통량_lag_day1,교통량_lag_day7,교통량_lag_day30
2017-08-29,263,19.0,0,0,0,0,263.0,259.0,261.0,20.0,17.0,35.0
2017-08-30,263,16.0,0,0,0,0,263.0,274.0,300.0,19.0,15.0,37.0
2017-08-31,277,13.0,0,0,0,0,263.0,273.0,300.0,16.0,15.0,39.0
2017-09-01,277,16.0,0,0,0,0,277.0,273.0,278.0,13.0,21.0,56.0
2017-09-02,267,26.0,0,0,0,0,277.0,288.0,286.0,16.0,35.0,38.0
2017-09-03,290,22.0,0,0,0,0,267.0,237.0,281.0,26.0,25.0,45.0
2017-09-04,279,20.0,0,0,0,0,290.0,263.0,284.0,22.0,20.0,44.0
2017-09-05,262,14.0,0,0,0,0,279.0,263.0,251.0,20.0,19.0,49.0
2017-09-06,262,26.0,0,0,0,0,262.0,263.0,266.0,14.0,16.0,34.0
2017-09-07,278,21.0,0,0,0,0,262.0,277.0,277.0,26.0,13.0,28.0
2017-09-10,227,15.0,0,0,0,0,274.0,290.0,277.0,26.0,22.0,43.0
2017-09-11,288,14.0,0,0,0,0,227.0,279.0,295.0,15.0,20.0,57.0
2017-09-12,288,0.0,0,0,0,0,288.0,262.0,249.0,14.0,14.0,35.0
2017-09-13,306,0.0,0,0,0,0,288.0,262.0,284.0,0.0,26.0,20.0
2017-09-14,251,14.0,0,0,0,0,306.0,278.0,274.0,0.0,21.0,28.0
2017-09-16,295,20.0,0,0,0,0,251.0,274.0,272.0,18.0,26.0,17.0
2017-09-17,271,10.0,0,0,0,0,295.0,227.0,282.0,20.0,15.0,28.0
2017-09-18,264,8.0,0,0,0,0,271.0,288.0,273.0,10.0,14.0,23.0
2017-09-19,264,8.0,0,0,0,0,264.0,288.0,257.0,8.0,0.0,19.0
2017-09-20,277,8.0,0,0,0,0,264.0,306.0,278.0,8.0,0.0,19.0
2017-09-21,277,16.0,0,0,0,0,277.0,251.0,259.0,8.0,14.0,17.0
2017-09-24,255,24.0,0,0,0,0,313.0,271.0,273.0,15.0,10.0,21.0
2017-09-25,322,10.0,0,0,0,0,255.0,264.0,288.0,24.0,8.0,35.0
2017-09-26,322,11.0,0,0,0,0,322.0,264.0,237.0,10.0,8.0,25.0
2017-09-27,275,8.0,0,0,0,1,322.0,277.0,263.0,11.0,8.0,20.0
2017-09-28,274,16.0,0,0,0,0,275.0,277.0,263.0,8.0,16.0,19.0
2017-09-30,290,72.0,0,0,0,0,259.0,313.0,277.0,20.0,15.0,13.0
2017-10-01,280,0.0,0,0,0,0,290.0,255.0,277.0,72.0,24.0,16.0
2017-10-02,301,63.0,0,0,0,0,280.0,322.0,267.0,0.0,10.0,26.0
2017-10-03,361,73.0,0,0,1,0,301.0,322.0,290.0,63.0,11.0,22.0
