,datetime,time
52854,2016-07-20,318
52853,2016-07-21,290
52852,2016-07-22,282
52851,2016-07-23,296
52850,2016-07-24,284
52849,2016-07-25,310
52848,2016-07-26,333
52847,2016-07-27,290
52846,2016-07-28,315
52845,2016-07-29,322
52844,2016-07-30,0
52843,2016-07-31,295
52842,2016-08-01,296
52841,2016-08-02,0
52840,2016-08-03,299
52839,2016-08-04,0
52838,2016-08-05,284
52837,2016-08-06,289
52836,2016-08-07,259
52835,2016-08-08,306
52834,2016-08-09,0
52833,2016-08-10,310
52832,2016-08-11,305
52831,2016-08-12,302
52830,2016-08-13,333
52829,2016-08-14,0
52828,2016-08-15,292
52827,2016-08-16,284
52826,2016-08-17,285
52825,2016-08-18,277
52824,2016-08-19,0
52110,2016-08-20,314
52109,2016-08-21,275
52108,2016-08-22,283
52107,2016-08-23,293
52106,2016-08-24,316
52105,2016-08-25,0
52104,2016-08-26,275
52103,2016-08-27,311
52102,2016-08-28,281
52101,2016-08-29,298
52100,2016-08-30,303
52099,2016-08-31,289
52098,2016-09-01,296
52097,2016-09-02,280
52096,2016-09-03,328
52095,2016-09-04,296
52094,2016-09-05,0
52093,2016-09-06,277
52092,2016-09-07,331
52091,2016-09-08,406
52090,2016-09-09,271
52089,2016-09-10,286
52088,2016-09-11,242
52087,2016-09-12,278
52086,2016-09-13,320
52085,2016-09-14,416
52084,2016-09-15,356
52083,2016-09-16,0
52082,2016-09-17,312
52081,2016-09-18,280
52080,2016-09-19,0
51366,2016-09-20,274
51365,2016-09-21,286
51364,2016-09-22,0
51363,2016-09-23,286
51362,2016-09-24,281
51361,2016-09-25,294
51360,2016-09-26,274
51359,2016-09-27,279
51358,2016-09-28,273
51357,2016-09-29,291
51356,2016-09-30,368
51355,2016-10-01,0
51354,2016-10-02,272
51353,2016-10-03,298
51352,2016-10-04,320
51351,2016-10-05,0
51350,2016-10-06,294
51349,2016-10-07,0
51348,2016-10-08,301
51347,2016-10-09,269
51346,2016-10-10,295
51345,2016-10-11,0
51344,2016-10-12,325
51343,2016-10-13,0
51342,2016-10-14,285
51341,2016-10-15,324
51340,2016-10-16,302
51339,2016-10-17,286
51338,2016-10-18,296
51337,2016-10-19,299
51336,2016-10-20,274
50622,2016-10-21,0
50621,2016-10-22,294
50620,2016-10-23,274
50619,2016-10-24,263
50618,2016-10-25,0
50617,2016-10-26,285
50616,2016-10-27,0
50615,2016-10-28,312
50614,2016-10-29,0
50613,2016-10-30,301
50612,2016-10-31,0
50611,2016-11-01,270
50610,2016-11-02,297
50609,2016-11-03,263
50608,2016-11-04,282
50607,2016-11-05,312
50606,2016-11-06,307
50605,2016-11-07,258
50604,2016-11-08,286
50603,2016-11-09,267
50602,2016-11-10,291
50601,2016-11-11,280
50600,2016-11-12,300
50599,2016-11-13,268
